Día,Horarios,Cupos,Nombre
Lunes,8:00,1,
Lunes,8:00,2,
Lunes,8:00,3,
Lunes,8:00,4,
Lunes,8:00,5,
Lunes,8:00,6,
Lunes,8:00,7,
Lunes,8:00,8,
Lunes,8:00,9,
Lunes,9:00,1,
Lunes,9:00,2,
Lunes,9:00,3,
Lunes,9:00,4,
Lunes,9:00,5,
Lunes,9:00,6,
Lunes,9:00,7,
Lunes,9:00,8,
Lunes,9:00,9,
Lunes,10:00,1,
Lunes,10:00,2,
Lunes,10:00,3,
Lunes,10:00,4,
Lunes,10:00,5,
Lunes,10:00,6,
Lunes,10:00,7,
Lunes,10:00,8,
Lunes,10:00,9,
Lunes,16:30,1,
Lunes,16:30,2,
Lunes,16:30,3,
Lunes,16:30,4,
Lunes,16:30,5,
Lunes,16:30,6,
Lunes,16:30,7,
Lunes,16:30,8,
Lunes,16:30,9,
Lunes,17:30,1,
Lunes,17:30,2,
Lunes,17:30,3,
Lunes,17:30,4,
Lunes,17:30,5,
Lunes,17:30,6,
Lunes,17:30,7,
Lunes,17:30,8,
Lunes,17:30,9,
Lunes,18:30,1,
Lunes,18:30,2,
Lunes,18:30,3,
Lunes,18:30,4,
Lunes,18:30,5,
Lunes,18:30,6,
Lunes,18:30,7,
Lunes,18:30,8,
Lunes,18:30,9,
Lunes,19:30,1,
Lunes,19:30,2,
Lunes,19:30,3,
Lunes,19:30,4,
Lunes,19:30,5,
Lunes,19:30,6,
Lunes,19:30,7,
Lunes,19:30,8,
Lunes,19:30,9,
Lunes,20:30,1,
Lunes,20:30,2,
Lunes,20:30,3,
Lunes,20:30,4,
Lunes,20:30,5,
Lunes,20:30,6,
Lunes,20:30,7,
Lunes,20:30,8,
Lunes,20:30,9,
Martes,7:00,1,
Martes,7:00,2,
Martes,7:00,3,
Martes,7:00,4,
Martes,7:00,5,
Martes,7:00,6,
Martes,7:00,7,
Martes,7:00,8,
Martes,7:00,9,
Martes,8:00,1,
Martes,8:00,2,
Martes,8:00,3,
Martes,8:00,4,
Martes,8:00,5,
Martes,8:00,6,
Martes,8:00,7,
Martes,8:00,8,
Martes,8:00,9,
Martes,9:00,1,
Martes,9:00,2,
Martes,9:00,3,
Martes,9:00,4,
Martes,9:00,5,
Martes,9:00,6,
Martes,9:00,7,
Martes,9:00,8,
Martes,9:00,9,
Martes,10:00,1,
Martes,10:00,2,
Martes,10:00,3,
Martes,10:00,4,
Martes,10:00,5,
Martes,10:00,6,
Martes,10:00,7,
Martes,10:00,8,
Martes,10:00,9,
Martes,16:30,1,
Martes,16:30,2,
Martes,16:30,3,
Martes,16:30,4,
Martes,16:30,5,
Martes,16:30,6,
Martes,16:30,7,
Martes,16:30,8,
Martes,16:30,9,
Martes,17:30,1,
Martes,17:30,2,
Martes,17:30,3,
Martes,17:30,4,
Martes,17:30,5,
Martes,17:30,6,
Martes,17:30,7,
Martes,17:30,8,
Martes,17:30,9,
Martes,18:30,1,
Martes,18:30,2,
Martes,18:30,3,
Martes,18:30,4,
Martes,18:30,5,
Martes,18:30,6,
Martes,18:30,7,
Martes,18:30,8,
Martes,18:30,9,
Martes,19:30,1,
Martes,19:30,2,
Martes,19:30,3,
Martes,19:30,4,
Martes,19:30,5,
Martes,19:30,6,
Martes,19:30,7,
Martes,19:30,8,
Martes,19:30,9,
Martes,20:30,1,
Martes,20:30,2,
Martes,20:30,3,
Martes,20:30,4,
Martes,20:30,5,
Martes,20:30,6,
Martes,20:30,7,
Martes,20:30,8,
Martes,20:30,9,
Miércoles,8:00,1,
Miércoles,8:00,2,
Miércoles,8:00,3,
Miércoles,8:00,4,
Miércoles,8:00,5,
Miércoles,8:00,6,
Miércoles,8:00,7,
Miércoles,8:00,8,
Miércoles,8:00,9,
Miércoles,9:00,1,
Miércoles,9:00,2,
Miércoles,9:00,3,
Miércoles,9:00,4,
Miércoles,9:00,5,
Miércoles,9:00,6,
Miércoles,9:00,7,
Miércoles,9:00,8,
Miércoles,9:00,9,
Miércoles,10:00,1,
Miércoles,10:00,2,
Miércoles,10:00,3,
Miércoles,10:00,4,
Miércoles,10:00,5,
Miércoles,10:00,6,
Miércoles,10:00,7,
Miércoles,10:00,8,
Miércoles,10:00,9,
Miércoles,16:30,1,
Miércoles,16:30,2,
Miércoles,16:30,3,
Miércoles,16:30,4,
Miércoles,16:30,5,
Miércoles,16:30,6,
Miércoles,16:30,7,
Miércoles,16:30,8,
Miércoles,16:30,9,
Miércoles,17:30,1,
Miércoles,17:30,2,
Miércoles,17:30,3,
Miércoles,17:30,4,
Miércoles,17:30,5,
Miércoles,17:30,6,
Miércoles,17:30,7,
Miércoles,17:30,8,
Miércoles,17:30,9,
Miércoles,18:30,1,
Miércoles,18:30,2,
Miércoles,18:30,3,
Miércoles,18:30,4,
Miércoles,18:30,5,
Miércoles,18:30,6,
Miércoles,18:30,7,
Miércoles,18:30,8,
Miércoles,18:30,9,
Miércoles,19:30,1,
Miércoles,19:30,2,
Miércoles,19:30,3,
Miércoles,19:30,4,
Miércoles,19:30,5,
Miércoles,19:30,6,
Miércoles,19:30,7,
Miércoles,19:30,8,
